url,name,forecasting,classification,clustering,anomaly detection,segmentation,pattern recognition,change point detection,dimensionality reduction,missing values imputation,decomposition,preprocessing,similarity measures,selection model hyperparameters features,metrics statistical tests,visualization,synthetic data generation,contains datasets,dedicated documentation,notebooks,API reference,install guide,user guides
https://github.com/bashtage/arch,arch,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,1,True,True,True
https://github.com/firmai/atspy,atspy,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,2,False,True,True
https://github.com/tsurubee/banpei,banpei,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,False,True,True
https://github.com/cesium-ml/cesium,cesium,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1,True,True,True
https://github.com/unit8co/darts,darts,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,0,True,True,True
https://github.com/deeptime-ml/deeptime,deeptime,True,False,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,True,2,False,True,True
https://github.com/firmai/deltapy,deltapy,True,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,2,True,True,True
https://github.com/wannesm/dtaidistance,dtaidistance,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,2,True,True,True
https://github.com/laszukdawid/PyEMD,EMD-signal,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,2,True,True,True
https://github.com/AIStream-Peelout/flow-forecast,flood-forecast,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,2,True,True,True
https://github.com/awslabs/gluon-ts,gluonts,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,0,True,True,True
https://github.com/heidelbergcement/hcrystalball,hcrystalball,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,1,True,True,True
https://github.com/hmmlearn/hmmlearn,hmmlearn,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,1,False,True,True
https://github.com/ContextLab/hypertools,hypertools,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,1,True,True,True
https://github.com/bashtage/linearmodels,linearmodels,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1,False,True,True
https://github.com/zillow/luminaire,luminaire,True,False,False,True,False,False,True,False,True,True,True,False,True,False,False,False,False,True,0,False,True,False
https://github.com/matrix-profile-foundation/matrixprofile,matrixprofile,False,False,True,True,True,True,False,False,True,False,False,True,False,False,True,False,True,True,0,True,True,True
https://github.com/NLeSC/mcfly,mcfly,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,0,False,True,True
https://github.com/ourownstory/neural_prophet,neuralprophet,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True,1,True,True,True
https://github.com/CSchoel/nolds,nolds,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,0,True,True,True
https://github.com/alkaline-ml/pmdarima,pmdarima,True,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,False,1,False,True,True
https://github.com/facebook/prophet,prophet,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,1,True,True,True
https://github.com/antoinecarme/pyaf,pyaf,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,True,0,True,True,True
https://github.com/regeirk/pycwt,pycwt,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,2,True,True,True
https://github.com/wwrechard/pydlm,pydlm,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,1,True,True,True
https://github.com/PYFTS/pyFTS,pyFTS,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,2,False,True,True
https://github.com/datamllab/pyodds,pyodds,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,1,True,True,True
https://github.com/zalandoresearch/pytorch-ts,pytorchts,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,2,True,True,True
https://github.com/johannfaouzi/pyts,pyts,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,1,True,True,False
https://github.com/PyWavelets/pywt,PyWavelets,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,1,True,True,True
https://github.com/deepcharles/ruptures,ruptures,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,2,False,True,True
https://github.com/scikit-multiflow/scikit-multiflow,scikit-multiflow,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,True,False,True,1,True,True,False
https://github.com/dmbee/seglearn,seglearn,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,1,True,True,True
https://github.com/alan-turing-institute/sktime,sktime,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,1,True,True,True
https://github.com/sktime/sktime-dl,sktime-dl,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,False,True,True
https://github.com/statsmodels/statsmodels,statsmodels,True,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,1,True,True,True
https://github.com/TDAmeritrade/stumpy,stumpy,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,1,True,True,True
https://github.com/scikit-signal/tftb,tftb,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,2,True,True,True
https://github.com/blue-yonder/tsfresh,tsfresh,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,True,0,True,True,True
https://github.com/tslearn-team/tslearn,tslearn,False,True,True,False,False,True,False,False,False,False,True,True,False,True,False,True,True,True,0,False,True,True